Wk,Day,Date,Time,Home,xG,Score,xGA,Away,Attendance,Venue,Referee,Match Report,Notes
13,Sun,2021-11-07,16:15 (20:45),Valencia,0.9,3–3,1.9,Atlético Madrid,37472,Estadio de Mestalla,César Soto,Match Report,
13,Sun,2021-11-07,18:30 (23:00),Osasuna,0.5,0–2,1.3,Real Sociedad,21741,Estadio El Sadar,Miguel Ángel Ortiz Arias,Match Report,
13,Sun,2021-11-07,18:30 (23:00),Mallorca,1.9,2–2,0.6,Elche,12933,Iberostar Estadi,Mario Melero,Match Report,
13,Sun,2021-11-07,21:00 (01:30),Betis,0.3,0–2,1.6,Sevilla,50534,Estadio Benito Villamarín,Antonio Matéu Lahoz,Match Report,
,,,,,,,,,,,,,
14,Fri,2021-11-19,21:00 (01:30),Levante,0.7,0–0,0.7,Athletic Club,15230,Estadio Ciudad de Valencia,José Luis Munuera,Match Report,
14,Sat,2021-11-20,14:00 (18:30),Celta Vigo,1,1–1,2.5,Villarreal,10086,Estadio de Balaídos,Alberola Rojas,Match Report,
14,Sat,2021-11-20,16:15 (20:45),Sevilla,1.7,2–2,1.7,Alavés,25208,Estadio Ramón Sánchez Pizjuán,Alejandro Muñíz,Match Report,
14,Sat,2021-11-20,18:30 (23:00),Atlético Madrid,1.2,1–0,0.3,Osasuna,53261,Estadio Wanda Metropolitano,José Sánchez,Match Report,
14,Sat,2021-11-20,21:00 (01:30),Barcelona,1.5,1–0,1,Espanyol,74418,Camp Nou,Carlos del Cerro,Match Report,
14,Sun,2021-11-21,14:00 (18:30),Getafe,1.3,4–0,0.4,Cádiz,8825,Coliseum Alfonso Pérez,Ricardo de Burgos,Match Report,
14,Sun,2021-11-21,16:15 (20:45),Granada,0.7,1–4,3.3,Real Madrid,17460,Estadio Nuevo Los Cármenes,Juan Martínez,Match Report,
14,Sun,2021-11-21,18:30 (23:00),Elche,1.3,0–3,1.9,Betis,16127,Estadio Manuel Martínez Valero,Valentín Pizarro,Match Report,
14,Sun,2021-11-21,21:00 (01:30),Real Sociedad,0.4,0–0,0.5,Valencia,28635,Estadio Municipal de Anoeta,Mario Melero,Match Report,
14,Mon,2021-11-22,21:00 (01:30),Rayo Vallecano,2.5,3–1,0.8,Mallorca,6708,Estadio del Rayo Vallecano,Jorge Figueroa,Match Report,
,,,,,,,,,,,,,
15,Fri,2021-11-26,21:00 (01:30),Athletic Club,1.2,2–2,1.3,Granada,32651,San Mamés,Adrián Cordero,Match Report,
15,Sat,2021-11-27,14:00 (18:30),Alavés,1.2,1–2,1.3,Celta Vigo,10093,Estadio de Mendizorroza,Pablo González,Match Report,
15,Sat,2021-11-27,16:15 (20:45),Valencia,1.5,1–1,1.6,Rayo Vallecano,30030,Estadio de Mestalla,Alejandro Hernández,Match Report,
15,Sat,2021-11-27,18:30 (23:00),Mallorca,0.4,0–0,0.8,Getafe,8635,Iberostar Estadi,Santiago Jaime,Match Report,
15,Sat,2021-11-27,21:00 (01:30),Villarreal,1.4,1–3,3,Barcelona,19050,Estadio de la Cerámica,César Soto,Match Report,
15,Sun,2021-11-28,14:00 (18:30),Betis,2.4,3–1,0.2,Levante,45012,Estadio Benito Villamarín,Miguel Ángel Ortiz Arias,Match Report,
15,Sun,2021-11-28,16:15 (20:45),Espanyol,0.5,1–0,1.8,Real Sociedad,19935,RCDE Stadium,Antonio Matéu Lahoz,Match Report,
15,Sun,2021-11-28,18:30 (23:00),Cádiz,1,1–4,3.4,Atlético Madrid,16861,Estadio Nuevo Mirandilla,Jesús Gil,Match Report,
15,Sun,2021-11-28,21:00 (01:30),Real Madrid,1.5,2–1,0.5,Sevilla,45281,Estadio Santiago Bernabéu,José Sánchez,Match Report,
15,Mon,2021-11-29,21:00 (01:30),Osasuna,2,1–1,1.3,Elche,16485,Estadio El Sadar,Isidro Díaz de Mera,Match Report,
,,,,,,,,,,,,,
9,Wed,2021-12-01,21:00 (01:30),Real Madrid,1.7,1–0,1.9,Athletic Club,33627,Estadio Santiago Bernabéu,Isidro Díaz de Mera,Match Report,
,,,,,,,,,,,,,
16,Fri,2021-12-03,21:00 (01:30),Granada,1,2–1,1.7,Alavés,13511,Estadio Nuevo Los Cármenes,Alberola Rojas,Match Report,
16,Sat,2021-12-04,14:00 (18:30),Sevilla,0.3,1–0,1.9,Villarreal,30865,Estadio Ramón Sánchez Pizjuán,Carlos del Cerro,Match Report,
16,Sat,2021-12-04,16:15 (20:45),Barcelona,0.8,0–1,0.7,Betis,66529,Camp Nou,Pablo González,Match Report,
16,Sat,2021-12-04,18:30 (23:00),Atlético Madrid,1.4,1–2,0.6,Mallorca,51009,Estadio Wanda Metropolitano,Juan Martínez,Match Report,
16,Sat,2021-12-04,21:00 (01:30),Real Sociedad,0.8,0–2,2,Real Madrid,35765,Estadio Municipal de Anoeta,Jesús Gil,Match Report,
16,Sun,2021-12-05,14:00 (18:30),Rayo Vallecano,0.5,1–0,0.5,Espanyol,8679,Estadio del Rayo Vallecano,José Luis Munuera,Match Report,
16,Sun,2021-12-05,16:15 (20:45),Elche,2.3,3–1,1.5,Cádiz,11879,Estadio Manuel Martínez Valero,Alejandro Muñíz,Match Report,
16,Sun,2021-12-05,18:30 (23:00),Levante,0.5,0–0,0.3,Osasuna,15361,Estadio Ciudad de Valencia,Valentín Pizarro,Match Report,
16,Sun,2021-12-05,21:00 (01:30),Celta Vigo,0.6,1–2,1.5,Valencia,11361,Estadio de Balaídos,Ricardo de Burgos,Match Report,
16,Mon,2021-12-06,21:00 (01:30),Getafe,1.1,0–0,0.5,Athletic Club,9176,Coliseum Alfonso Pérez,Jorge Figueroa,Match Report,
,,,,,,,,,,,,,
17,Fri,2021-12-10,21:00 (01:30),Mallorca,0.7,0–0,1.3,Celta Vigo,10655,Iberostar Estadi,Isidro Díaz de Mera,Match Report,
17,Sat,2021-12-11,14:00 (18:30),Espanyol,2.3,4–3,2.8,Levante,15193,RCDE Stadium,Adrián Cordero,Match Report,
17,Sat,2021-12-11,16:15 (20:45),Alavés,0.7,1–1,1,Getafe,10065,Estadio de Mendizorroza,César Soto,Match Report,
17,Sat,2021-12-11,18:30 (23:00),Valencia,1.7,2–1,1,Elche,31662,Estadio de Mestalla,Santiago Jaime,Match Report,
17,Sat,2021-12-11,21:00 (01:30),Athletic Club,1.8,0–1,0.2,Sevilla,36737,San Mamés,Alejandro Hernández,Match Report,
17,Sun,2021-12-12,14:00 (18:30),Villarreal,2.3,2–0,1.7,Rayo Vallecano,13133,Estadio de la Cerámica,Mario Melero,Match Report,
17,Sun,2021-12-12,16:15 (20:45),Osasuna,0.3,2–2,1,Barcelona,21427,Estadio El Sadar,Juan Martínez,Match Report,
17,Sun,2021-12-12,18:30 (23:00),Betis,1.5,4–0,1.4,Real Sociedad,52158,Estadio Benito Villamarín,José Sánchez,Match Report,
17,Sun,2021-12-12,21:00 (01:30),Real Madrid,0.6,2–0,0.7,Atlético Madrid,51024,Estadio Santiago Bernabéu,Antonio Matéu Lahoz,Match Report,
17,Mon,2021-12-13,21:00 (01:30),Cádiz,0.7,1–1,1.5,Granada,13052,Estadio Nuevo Mirandilla,Miguel Ángel Ortiz Arias,Match Report,
,,,,,,,,,,,,,
18,Fri,2021-12-17,21:00 (01:30),Celta Vigo,1.4,3–1,0.4,Espanyol,9526,Estadio de Balaídos,Valentín Pizarro,Match Report,
18,Sat,2021-12-18,14:00 (18:30),Rayo Vallecano,1.7,2–0,0.3,Alavés,7911,Estadio del Rayo Vallecano,Antonio Matéu Lahoz,Match Report,
18,Sat,2021-12-18,16:15 (20:45),Real Sociedad,1.3,1–3,2.8,Villarreal,29679,Estadio Municipal de Anoeta,Jorge Figueroa,Match Report,
18,Sat,2021-12-18,18:30 (23:00),Barcelona,2.9,3–2,1.1,Elche,41664,Camp Nou,Alberola Rojas,Match Report,
18,Sat,2021-12-18,21:00 (01:30),Sevilla,0.4,2–1,0.8,Atlético Madrid,33241,Estadio Ramón Sánchez Pizjuán,Ricardo de Burgos,Match Report,
18,Sun,2021-12-19,14:00 (18:30),Granada,1.7,4–1,1,Mallorca,13014,Estadio Nuevo Los Cármenes,Alejandro Muñíz,Match Report,
18,Sun,2021-12-19,16:15 (20:45),Athletic Club,1.2,3–2,2.1,Betis,38002,San Mamés,Jesús Gil,Match Report,
18,Sun,2021-12-19,18:30 (23:00),Getafe,1.1,1–0,0.3,Osasuna,8126,Coliseum Alfonso Pérez,José Luis Munuera,Match Report,
18,Sun,2021-12-19,21:00 (01:30),Real Madrid,2.6,0–0,0.3,Cádiz,38818,Estadio Santiago Bernabéu,Santiago Jaime,Match Report,
18,Mon,2021-12-20,21:00 (01:30),Levante,2.9,3–4,1.9,Valencia,18851,Estadio Ciudad de Valencia,Pablo González,Match Report,
,,,,,,,,,,,,,
4,Tue,2021-12-21,19:00 (23:30),Villarreal,3.5,5–2,0.6,Alavés,12530,Estadio de la Cerámica,Valentín Pizarro,Match Report,
4,Tue,2021-12-21,21:30 (02:00),Sevilla,0.2,1–1,1.5,Barcelona,31358,Estadio Ramón Sánchez Pizjuán,Carlos del Cerro,Match Report,
,,,,,,,,,,,,,
9,Wed,2021-12-22,19:00 (23:30),Granada,0.6,2–1,1.6,Atlético Madrid,13304,Estadio Nuevo Los Cármenes,Alejandro Hernández,Match Report,
,,,,,,,,,,,,,
21,Wed,2021-12-22,21:30 (02:00),Athletic Club,0.9,1–2,1.2,Real Madrid,42722,San Mamés,César Soto,Match Report,
,,,,,,,,,,,,,
19,Fri,2021-12-31,16:15 (20:45),Valencia,0.9,1–2,1.9,Espanyol,29566,Estadio de Mestalla,José Sánchez,Match Report,
19,Sun,2022-01-02,14:00 (18:30),Getafe,0.8,1–0,0.6,Real Madrid,11890,Coliseum Alfonso Pérez,Mario Melero,Match Report,
19,Sun,2022-01-02,16:15 (20:45),Elche,0.9,0–0,1.5,Granada,12160,Estadio Manuel Martínez Valero,Adrián Cordero,Match Report,
19,Sun,2022-01-02,16:15 (20:45),Atlético Madrid,1.7,2–0,0,Rayo Vallecano,43029,Estadio Wanda Metropolitano,Jorge Figueroa,Match Report,
19,Sun,2022-01-02,18:30 (23:00),Alavés,1.6,1–1,0.8,Real Sociedad,13498,Estadio de Mendizorroza,Carlos del Cerro,Match Report,
19,Sun,2022-01-02,18:30 (23:00),Betis,1.5,0–2,2.1,Celta Vigo,41656,Estadio Benito Villamarín,César Soto,Match Report,
19,Sun,2022-01-02,21:00 (01:30),Mallorca,0.7,0–1,1.2,Barcelona,14654,Iberostar Estadi,Antonio Matéu Lahoz,Match Report,
19,Mon,2022-01-03,19:00 (23:30),Villarreal,3.3,5–0,0.4,Levante,13462,Estadio de la Cerámica,Alejandro Hernández,Match Report,
19,Mon,2022-01-03,21:00 (01:30),Osasuna,1.1,1–3,1.2,Athletic Club,16206,Estadio El Sadar,Miguel Ángel Ortiz Arias,Match Report,
19,Mon,2022-01-03,21:15 (01:45),Cádiz,0.4,0–1,1.5,Sevilla,14342,Estadio Nuevo Mirandilla,Alberola Rojas,Match Report,
,,,,,,,,,,,,,
20,Sat,2022-01-08,14:00 (18:30),Levante,1.1,2–0,1.3,Mallorca,13330,Estadio Ciudad de Valencia,Jorge Figueroa,Match Report,
20,Sat,2022-01-08,16:15 (20:45),Real Sociedad,1.7,1–0,0.3,Celta Vigo,27938,Estadio Municipal de Anoeta,Guillermo Cuadra,Match Report,
20,Sat,2022-01-08,18:30 (23:00),Granada,1.2,1–1,0.6,Barcelona,14442,Estadio Nuevo Los Cármenes,Pablo González,Match Report,
20,Sat,2022-01-08,21:00 (01:30),Real Madrid,3.7,4–1,1.2,Valencia,40617,Estadio Santiago Bernabéu,Alejandro Hernández,Match Report,
20,Sun,2022-01-09,14:00 (18:30),Rayo Vallecano,1.3,1–1,1.2,Betis,8395,Estadio del Rayo Vallecano,Alejandro Muñíz,Match Report,
20,Sun,2022-01-09,16:15 (20:45),Sevilla,0.6,1–0,0.1,Getafe,30801,Estadio Ramón Sánchez Pizjuán,Juan Martínez,Match Report,
20,Sun,2022-01-09,18:30 (23:00),Osasuna,2.2,2–0,0.2,Cádiz,16292,Estadio El Sadar,Ricardo de Burgos,Match Report,
20,Sun,2022-01-09,18:30 (23:00),Alavés,0.4,0–0,0.8,Athletic Club,14103,Estadio de Mendizorroza,Santiago Jaime,Match Report,
20,Sun,2022-01-09,21:00 (01:30),Villarreal,2.1,2–2,0.5,Atlético Madrid,14127,Estadio de la Cerámica,Alberola Rojas,Match Report,
20,Mon,2022-01-10,21:00 (01:30),Espanyol,1.2,1–2,0.8,Elche,11870,RCDE Stadium,Jesús Gil,Match Report,
,,,,,,,,,,,,,
21,Sun,2022-01-16,14:00 (18:30),Elche,0.2,1–0,0.5,Villarreal,12433,Estadio Manuel Martínez Valero,Valentín Pizarro,Match Report,
21,Tue,2022-01-18,20:00 (00:30),Betis,2.4,4–0,0.4,Alavés,38753,Estadio Benito Villamarín,José Sánchez,Match Report,
21,Tue,2022-01-18,21:30 (02:00),Cádiz,1.5,2–2,2.1,Espanyol,10755,Estadio Nuevo Mirandilla,Alejandro Muñíz,Match Report,
21,Wed,2022-01-19,19:00 (23:30),Celta Vigo,1,2–0,0.5,Osasuna,8837,Estadio de Balaídos,Adrián Cordero,Match Report,
21,Wed,2022-01-19,21:30 (02:00),Valencia,0.6,1–1,1.1,Sevilla,26049,Estadio de Mestalla,César Soto,Match Report,
21,Thu,2022-01-20,19:00 (23:30),Getafe,0.9,4–2,0.9,Granada,7634,Coliseum Alfonso Pérez,Isidro Díaz de Mera,Match Report,
21,Fri,2022-01-21,,Barcelona,,,,Rayo Vallecano,,Camp Nou,,,Match Postponed
,,,,,,,,,,,,,
22,Fri,2022-01-21,21:00 (01:30),Espanyol,1.7,1–4,2.2,Betis,17637,RCDE Stadium,Alberola Rojas,Match Report,
22,Sat,2022-01-22,14:00 (18:30),Levante,1,0–2,0.8,Cádiz,14063,Estadio Ciudad de Valencia,César Soto,Match Report,
22,Sat,2022-01-22,16:15 (20:45),Villarreal,1.7,3–0,1.2,Mallorca,13207,Estadio de la Cerámica,Miguel Ángel Ortiz Arias,Match Report,
22,Sat,2022-01-22,18:30 (23:00),Sevilla,1.2,2–2,0.7,Celta Vigo,30059,Estadio Ramón Sánchez Pizjuán,José Sánchez,Match Report,
22,Sat,2022-01-22,21:00 (01:30),Atlético Madrid,2.7,3–2,0.7,Valencia,44999,Estadio Wanda Metropolitano,Isidro Díaz de Mera,Match Report,
22,Sun,2022-01-23,14:00 (18:30),Granada,0.7,0–2,1.8,Osasuna,12471,Estadio Nuevo Los Cármenes,Santiago Jaime,Match Report,
22,Sun,2022-01-23,16:15 (20:45),Real Madrid,3.4,2–2,0.8,Elche,39796,Estadio Santiago Bernabéu,Ricardo de Burgos,Match Report,
22,Sun,2022-01-23,18:30 (23:00),Rayo Vallecano,1.6,0–1,0.5,Athletic Club,9034,Estadio del Rayo Vallecano,Adrián Cordero,Match Report,
22,Sun,2022-01-23,18:30 (23:00),Real Sociedad,1.1,0–0,0.5,Getafe,27368,Estadio Municipal de Anoeta,José Luis Munuera,Match Report,
22,Sun,2022-01-23,21:00 (01:30),Alavés,0.6,0–1,1.3,Barcelona,14056,Estadio de Mendizorroza,Jorge Figueroa,Match Report,
,,,,,,,,,,,,,
23,Fri,2022-02-04,21:00 (01:30),Getafe,0.8,3–0,0.9,Levante,8475,Coliseum Alfonso Pérez,Alejandro Muñíz,Match Report,
23,Sat,2022-02-05,14:00 (18:30),Elche,1.4,3–1,0.8,Alavés,12923,Estadio Manuel Martínez Valero,Mario Melero,Match Report,
23,Sat,2022-02-05,16:15 (20:45),Mallorca,2.4,2–1,1.2,Cádiz,12226,Iberostar Estadi,Carlos del Cerro,Match Report,
23,Sat,2022-02-05,18:30 (23:00),Celta Vigo,0.7,2–0,0.9,Rayo Vallecano,12546,Estadio de Balaídos,José Luis Munuera,Match Report,
23,Sat,2022-02-05,21:00 (01:30),Osasuna,0.6,0–0,1.3,Sevilla,17635,Estadio El Sadar,Valentín Pizarro,Match Report,
23,Sun,2022-02-06,14:00 (18:30),Valencia,0.7,0–0,0.5,Real Sociedad,31351,Estadio de Mestalla,José Sánchez,Match Report,
23,Sun,2022-02-06,16:15 (20:45),Barcelona,1,4–2,1.3,Atlético Madrid,74221,Camp Nou,Jesús Gil,Match Report,
23,Sun,2022-02-06,18:30 (23:00),Betis,0.6,0–2,0.9,Villarreal,44870,Estadio Benito Villamarín,Pablo González,Match Report,
23,Sun,2022-02-06,21:00 (01:30),Real Madrid,2,1–0,0.7,Granada,36665,Estadio Santiago Bernabéu,Antonio Matéu Lahoz,Match Report,
23,Mon,2022-02-07,21:00 (01:30),Athletic Club,0.7,2–1,0.7,Espanyol,30753,San Mamés,César Soto,Match Report,
,,,,,,,,,,,,,
24,Fri,2022-02-11,21:00 (01:30),Sevilla,0.7,2–0,0.4,Elche,33411,Estadio Ramón Sánchez Pizjuán,Miguel Ángel Ortiz Arias,Match Report,
24,Sat,2022-02-12,14:00 (18:30),Cádiz,0.7,0–0,1,Celta Vigo,15635,Estadio Nuevo Mirandilla,Antonio Matéu Lahoz,Match Report,
24,Sat,2022-02-12,16:15 (20:45),Villarreal,0.5,0–0,2,Real Madrid,17894,Estadio de la Cerámica,José Sánchez,Match Report,
24,Sat,2022-02-12,18:30 (23:00),Rayo Vallecano,0.7,0–3,1.1,Osasuna,8596,Estadio del Rayo Vallecano,Jorge Figueroa,Match Report,
24,Sat,2022-02-12,21:00 (01:30),Atlético Madrid,2.7,4–3,2.2,Getafe,49375,Estadio Wanda Metropolitano,Ricardo de Burgos,Match Report,
24,Sun,2022-02-13,14:00 (18:30),Alavés,1.7,2–1,1.3,Valencia,12845,Estadio de Mendizorroza,Adrián Cordero,Match Report,
24,Sun,2022-02-13,16:15 (20:45),Levante,1.9,2–4,2,Betis,16103,Estadio Ciudad de Valencia,Santiago Jaime,Match Report,
24,Sun,2022-02-13,18:30 (23:00),Real Sociedad,2.7,2–0,1.4,Granada,29847,Estadio Municipal de Anoeta,Alberola Rojas,Match Report,
24,Sun,2022-02-13,21:00 (01:30),Espanyol,0.6,2–2,1,Barcelona,25049,RCDE Stadium,Alejandro Hernández,Match Report,
24,Mon,2022-02-14,21:00 (01:30),Mallorca,2.8,3–2,1.6,Athletic Club,12904,Iberostar Estadi,Isidro Díaz de Mera,Match Report,
,,,,,,,,,,,,,
21,Wed,2022-02-16,19:00 (23:30),Atlético Madrid,1,0–1,1.1,Levante,43456,Estadio Wanda Metropolitano,José Luis Munuera,Match Report,
,,,,,,,,,,,,,
25,Fri,2022-02-18,21:00 (01:30),Elche,2.6,2–1,0.8,Rayo Vallecano,14742,Estadio Manuel Martínez Valero,Alejandro Muñíz,Match Report,
25,Sat,2022-02-19,14:00 (18:30),Granada,2.8,1–4,5.4,Villarreal,13389,Estadio Nuevo Los Cármenes,Jesús Gil,Match Report,
25,Sat,2022-02-19,16:15 (20:45),Osasuna,,0–3,,Atlético Madrid,20040,Estadio El Sadar,Mario Melero,Match Report,
25,Sat,2022-02-19,18:30 (23:00),Cádiz,,1–1,,Getafe,15948,Estadio Nuevo Mirandilla,Alberola Rojas,Match Report,
25,Sat,2022-02-19,21:00 (01:30),Real Madrid,,3–0,,Alavés,42180,Estadio Santiago Bernabéu,José Luis Munuera,Match Report,